situation,thought,reframe,thinking_traps_addressed
A Roomate of mine stole my comptuer,"Someone I trusted stole something valuable of mine, I was extremely angry and wanted justice","My roommate stole something of mine, and I will focus on actionable solutions to address this.",emotional reasoning
A Roomate of mine stole my comptuer,"Someone I trusted stole something valuable of mine, I was extremely angry and wanted justice","While I would like there to be consequences for my roommate's actions, it may not always be possible.",emotional reasoning
"A few days ago, I got angry at my husband's grandmother who lives next door for beeping her horn till I came out of the house and asking me to come to dinner.",She doesn't respect me.,She is older and may have been tired,overgeneralizing
"A few days ago, I got angry at my husband's grandmother who lives next door for beeping her horn till I came out of the house and asking me to come to dinner.",She doesn't respect me.,"I felt disrespected by her actions, but that doesn't mean she has no respect for me.",overgeneralizing
A friend who is a recent widower has started dating.,My friend is ignoring his recently-deceased wife.,"Maybe my friend is in a healthy spot to date now. Maybe they have accepted the loss of their partner, and maybe their new partner helps to address some of their loneliness and sadness.",disqualifying the positive
A friend who is a recent widower has started dating.,My friend is ignoring his recently-deceased wife.,"Maybe my friend has mourned the loss of their partner. It doesn't mean they are no longer sad about it or are completely over it, but maybe they have made peace with the situation.",mind reading
A neighbor borrowed my smartphone charger and never returned it.,he took me for granted!,I know my neighbor is busy with his job and family. He probably just forgot to return it to me. I should stop by and ask for it back.,"labeling,catastrophizing"
A neighbor borrowed my smartphone charger and never returned it.,he took me for granted!,He forgot to bring me back my charger but I doubt it was done maliciously. It probably just slipped his mind.,personalizing
"A new policy at work was established and required cooperation of efforts from another department in order to meet the new requirements. I took initiative and set meetings to talk about the new roles. After the meeting a verbal agreements were made I drafted a memorandum of agreement outlining the verbal agreements. A day later, the other department refused to participate because they did not want to do any extra work.",We will not be able to complete the work that needs to be done,i can figure this out,catastrophizing
"A new policy at work was established and required cooperation of efforts from another department in order to meet the new requirements. I took initiative and set meetings to talk about the new roles. After the meeting a verbal agreements were made I drafted a memorandum of agreement outlining the verbal agreements. A day later, the other department refused to participate because they did not want to do any extra work.",We will not be able to complete the work that needs to be done,i can problem solve and figure out a way to make this work.,catastrophizing
A potential client decided to work with another company,I failed our company & myself,Did I? I am merely a small part of this company and shouldn't take the sole responsibility for its successes and failures,personalizing
A potential client decided to work with another company,I failed our company & myself,I'm a small part of this company and shouldn't take the sole responsibility for its successes and failures,personalizing
A student let me know they are struggling to grasp any of the concepts in class.,Am I not explaining the material well?,One student struggling does not negate my efforts and triumphs as a teacher. I am doing the best I can.,"all-or-nothing thinking,personalizing"
A student let me know they are struggling to grasp any of the concepts in class.,Am I not explaining the material well?,There could be a lot of factors contributing to why this student is struggling. I should ask the student about how I can support them and the parts they are struggling with.,personalizing
A week ago me and my GF were trying to find a store in a nearby town but we got lost.,We won't be able to find the store before it closes.,I am feeling anxious and overwhelmed. Let me take a moment to refocus so we can work together to find the right way to go to get to the store on time.,"fortune telling,all-or-nothing thinking,emotional reasoning,catastrophizing"
A week ago me and my GF were trying to find a store in a nearby town but we got lost.,We won't be able to find the store before it closes.,It is possible the store may close but being lost is not purposeful. If the store closes before we can get there we can just figure out another option to get what we need to get through the night.,"fortune telling,all-or-nothing thinking,emotional reasoning,catastrophizing"
"After I complained about not spending time together, my boyfriend did not want to go on a date last weekend.",He doesn't love me.,He has been open to meeting my needs in the past so this one situation does not define his love for me.,overgeneralizing
"After I complained about not spending time together, my boyfriend did not want to go on a date last weekend.",He doesn't love me.,I am worthy of voicing my needs and my lovability does not change because I have done so,personalizing
All of my relationship attempts have ended in failure,Suicidal thoughts,"Even very attractive people sometimes have a hard time finding love. Dating is hard, and I don't need to beat myself up.",emotional reasoning
All of my relationship attempts have ended in failure,Suicidal thoughts,"I may not always like the way I look, but I can still find someone who thinks I'm beautiful.",fortune telling
An mturk requester rejected my task and I wasn't sure why because I work very hard on my tasks. Being new it affected my approval rating more negatively.,I'm not smart enough to succeed at mturk,I am learning still and can improve. Just because this one task did not go as well as I would like does not mean I cannot improve and do better in the future.,"all-or-nothing thinking,labeling,overgeneralizing,fortune telling,personalizing"
An mturk requester rejected my task and I wasn't sure why because I work very hard on my tasks. Being new it affected my approval rating more negatively.,I'm not smart enough to succeed at mturk,It seems like there was some miscommunication. It doesn't mean that I do not have the skills to do well with mturk. I should reach out to see if I can get more clarity on why my task was rejected.,"all-or-nothing thinking,labeling,overgeneralizing,fortune telling,personalizing"
"At dinner my mother in law kept trying to tell me how to watch my daughter and was being condensending, I finally got angry and told her to mind her own business.",My mother in law thinks I am an incompetent father.,My mother in law has a different style of parenting than me and was being unfair. I am doing my best to be a good father and I don't need to take her advice if I don't want to.,"mind reading,negative feeling or emotion,all-or-nothing thinking,labeling,personalizing"
"At dinner my mother in law kept trying to tell me how to watch my daughter and was being condensending, I finally got angry and told her to mind her own business.",My mother in law thinks I am an incompetent father.,My mother in law was being condescending and unfair to me. I do not need to take her parenting advice and I can distance myself from her and my kids if this is not a relationship that I want to invest in.,"negative feeling or emotion,all-or-nothing thinking,labeling,personalizing"
At work I was frustrated after a meeting because I was told a certain amount of documents had to be indexed that week. I had a lot of other tasks and I started frantically naming them off. I was not expected to be indexing the full collection of documents like I thought I was so I was later embarassed I had acted so frustrated and snappy.,I thought I was being taken advantage of.,My frustration is valid. The expectations at work changed and it felt upsetting. I might need to seek support to finish this project.,"labeling,emotional reasoning"
At work I was frustrated after a meeting because I was told a certain amount of documents had to be indexed that week. I had a lot of other tasks and I started frantically naming them off. I was not expected to be indexing the full collection of documents like I thought I was so I was later embarassed I had acted so frustrated and snappy.,I thought I was being taken advantage of.,"I'm not perfect, and I'm doing the best that I can at work with the resources available.","mind reading,labeling,emotional reasoning,blaming"
Becoming broke again.,I can't and never will escape this prison at my moms house,Living with my mom isn’t what I  want for rest of my life,negative feeling or emotion
Becoming broke again.,I can't and never will escape this prison at my moms house,Sounds like my son that lives here with me,negative feeling or emotion
Being transgender,I'm not who I want to be. I hate my appearance and my voice.,Many people are transgender and it's just a label.  The sound of my voice and my appearance will eventually change to the appropriate gender.,labeling
Being transgender,I'm not who I want to be. I hate my appearance and my voice.,Although I do not like the sound of my voice or the way I look right now they do not define who I am.  I have many other positive attributes.  I will learn to focus on the positive.,disqualifying the positive
Breakup after loving truly.,I am scared of my future life and being in sorrow of breakup and didn't feel light of overthinking,Being afraid of the future is understandable considering the depths of my emotions and my sorrow.  I could be responding on a strictly emotional level rather than a rational reasoning level.,emotional reasoning
Breakup after loving truly.,I am scared of my future life and being in sorrow of breakup and didn't feel light of overthinking,It's not unusual for someone to over think a situation when experiencing strong emotions.  I will refrain from judgment about  my future until more time has passed.,emotional reasoning
Dealing with PTSD,"If I don't sleep well one night due to panic attack, then I it will only get worse",If I have a night of panic attacks and not sleeping wellit will only get worse,fortune telling
Dealing with PTSD,"If I don't sleep well one night due to panic attack, then I it will only get worse",I have PTSD it’s difficult to deal with,none
Don't have a job,I'm a failure,I now have time to get caught up on household tasks I did not have time to do while working.  I also have time to devote to my arts and crafts which really helps to boost my self-esteem.,disqualifying the positive
Don't have a job,I'm a failure,I am not a failure.  Many people are out of work.  My worth is not based on my employment.,negative feeling or emotion
"Every time I think I have another chance at love, I am reminded how insufferable and unlovable I make myself.",I am a hard person to love,I don't need to be so hard on myself. Relationships take work.,labeling
"Every time I think I have another chance at love, I am reminded how insufferable and unlovable I make myself.",I am a hard person to love,I have been in relationships before where I have been loved and it didn't seem like I was hard to love then.,labeling
Everyone in my life has left me,Someone please kill me,I'm having a hard time feeling hopeful right now. It might be a good time to look for help from a mental health professional,negative feeling or emotion
Everyone in my life has left me,Someone please kill me,It's hard when people grow apart from each other. I can mourn the people I've lost while building new relationships in the future,negative feeling or emotion
Everyone is mean to me,I hate everyone,Some of the people in my life are mean to me. I would like to find friends who treat me well and appreciate the good things about me,negative feeling or emotion
Everyone is mean to me,I hate everyone,"When people are mean to me, it makes me feel angry. I can focus on what I can control about the situation and let go of what I can't control.",negative feeling or emotion
Fired for not meeting quota as a salesman.,I can't pay my bills.,I'm feeling anxious about losing that job. I will have to be careful with my spending and work efficiently to find a new way to ensure that I can pay my bills.,negative feeling or emotion
Fired for not meeting quota as a salesman.,I can't pay my bills.,I feel bad for getting fired and it makes me scared about my financial future. I have gotten through other hard things and can get through this hard thing too.,"negative feeling or emotion,catastrophizing"
First interview after studying and getting my diploma.,I'll screw it over,There is no way of knowing exactly how the interview will go at this time.,fortune telling
First interview after studying and getting my diploma.,I'll screw it over,I will prepare for the interview the best that I can.,"fortune telling,catastrophizing"
For many years I've been tutoring students online in math and reading. One of my newer students requested to my supervisor that she be assigned to a different tutor because she didn't like me.,"I was searching my brain to figure out why she didn't like me, and it made me so sad to think I'd hurt her feelings or caused a problem for her.",it's ok if people dont like me,negative feeling or emotion
For many years I've been tutoring students online in math and reading. One of my newer students requested to my supervisor that she be assigned to a different tutor because she didn't like me.,"I was searching my brain to figure out why she didn't like me, and it made me so sad to think I'd hurt her feelings or caused a problem for her.","I might not have hurt her feelings or caused a problem for her, we just might not have been a good fit.",personalizing
Go fuck yourself,Fuck you,It's okay to feel angry. I can focus on what I can control and let go of what I can't,negative feeling or emotion
Go fuck yourself,Fuck you,"Sometimes I feel so angry, I don't know how to express myself. It might help to write down what I'm feeling and think about what's behind my anger",negative feeling or emotion
